airport	ORD	airport	FLL	domestic
airport	SLC	airport	DFW	domestic
airport	PHX	airport	MCI	domestic
airport	SEA	airport	LAX	domestic
airport	RDU	airport	LAX	domestic
airport	SFO	airport	ORD	domestic
airport	CLT	airport	EWR	domestic
airport	RNO	airport	PHX	domestic
airport	CLT	airport	MSY	domestic
airport	SEA	airport	PHL	domestic
airport	CLT	airport	DTW	domestic
airport	CLT	airport	ROC	domestic
airport	DCA	airport	ORD	domestic
airport	DFW	airport	PIT	domestic
airport	DFW	airport	MFE	domestic
airport	DFW	airport	SAT	domestic
airport	JFK	airport	LAX	domestic
airport	DFW	airport	STL	domestic
airport	MSP	airport	PHL	domestic
airport	LGA	airport	MCO	domestic
airport	MIA	airport	SEA	domestic
airport	MIA	airport	PHX	domestic
airport	PHX	airport	SAN	domestic
airport	ORD	airport	TUS	domestic
airport	SVX	airport	DME	domestic
airport	MEL	airport	CBR	domestic
airport	HND	airport	KIX	domestic
airport	MAD	airport	BCN	domestic
airport	MAD	airport	LCG	domestic
airport	CNS	airport	SYD	domestic
airport	OVD	airport	MAD	domestic
airport	MIA	airport	SXM	domestic
airport	HEL	airport	IVL	domestic
airport	JFK	airport	CLT	domestic
airport	MSP	airport	CLT	domestic
airport	DFW	airport	CHS	domestic
airport	SFO	airport	CLT	domestic
airport	DFW	airport	DCA	domestic
airport	RSW	airport	CLT	domestic
airport	ONT	airport	DFW	domestic
airport	JAX	airport	DFW	domestic
airport	PHX	airport	DEN	domestic
airport	MIA	airport	IAH	domestic
airport	MIA	airport	DTW	domestic
airport	LAS	airport	JFK	domestic
airport	ORD	airport	LGA	domestic
airport	ATL	airport	PHX	domestic
airport	PHX	airport	MKE	domestic
airport	PHX	airport	LIH	domestic
airport	ATL	airport	LGA	domestic
airport	STL	airport	ORD	domestic
airport	BOS	airport	DFW	domestic
airport	SAN	airport	PHL	domestic
airport	CHS	airport	CLT	domestic
airport	TPA	airport	ORD	domestic
airport	CLT	airport	DCA	domestic
airport	TPA	airport	PHX	domestic
airport	DCA	airport	RSW	domestic
airport	DCA	airport	DFW	domestic
airport	CLT	airport	PHL	domestic
airport	DFW	airport	MSP	domestic
airport	DFW	airport	OKC	domestic
airport	DFW	airport	ELP	domestic
airport	DFW	airport	MCO	domestic
airport	DFW	airport	SDF	domestic
airport	DTW	airport	MIA	domestic
airport	MIA	airport	PHL	domestic
airport	LAX	airport	PHX	domestic
airport	LAS	airport	MIA	domestic
airport	PHL	airport	RSW	domestic
airport	ORD	airport	STL	domestic
airport	ORD	airport	RDU	domestic
airport	OKA	airport	HND	domestic
airport	TKS	airport	HND	domestic
airport	ITM	airport	HND	domestic
airport	PER	airport	ADL	domestic
airport	DUR	airport	JNB	domestic
airport	SYD	airport	BME	domestic
airport	HND	airport	MSJ	domestic
airport	LED	airport	DME	domestic
airport	BME	airport	MEL	domestic
airport	BNE	airport	CBR	domestic
airport	JFK	airport	AUS	domestic
airport	MIA	airport	BDL	domestic
airport	CLT	airport	CHS	domestic
airport	CLT	airport	BWI	domestic
airport	LHR	airport	NCL	domestic
airport	DCA	airport	CLT	domestic
airport	SLC	airport	CLT	domestic
airport	STX	airport	CLT	domestic
airport	MFE	airport	DFW	domestic
airport	ORF	airport	DFW	domestic
airport	MIA	airport	JFK	domestic
airport	PHL	airport	FLL	domestic
airport	ORD	airport	EWR	domestic
airport	MIA	airport	LAX	domestic
airport	TUL	airport	MIA	domestic
airport	AUS	airport	PHL	domestic
airport	MCO	airport	LAX	domestic
airport	TUL	airport	ORD	domestic
airport	PHX	airport	ONT	domestic
airport	CLT	airport	ORD	domestic
airport	PHL	airport	PBI	domestic
airport	SFO	airport	PHL	domestic
airport	BOS	airport	MIA	domestic
airport	CVG	airport	DFW	domestic
airport	CLT	airport	SLC	domestic
airport	CLT	airport	RIC	domestic
airport	DFW	airport	LAS	domestic
airport	DFW	airport	RNO	domestic
airport	DFW	airport	PSP	domestic
airport	IAH	airport	MIA	domestic
airport	JFK	airport	SEA	domestic
airport	IND	airport	LAX	domestic
airport	LAX	airport	MSP	domestic
airport	LAS	airport	PHL	domestic
airport	MCO	airport	PHL	domestic
airport	ONT	airport	PHX	domestic
airport	PHL	airport	SFO	domestic
airport	ORD	airport	PSP	domestic
airport	PHX	airport	STL	domestic
airport	KIX	airport	CTS	domestic
airport	UBJ	airport	HND	domestic
airport	OKA	airport	KMQ	domestic
airport	PNT	airport	SCL	domestic
airport	ASJ	airport	ITM	domestic
airport	CTS	airport	ITM	domestic
airport	CNS	airport	BNE	domestic
airport	HND	airport	KUH	domestic
airport	ADL	airport	BNE	domestic
airport	OUL	airport	HEL	domestic
airport	PER	airport	SYD	domestic
airport	DME	airport	GOJ	domestic
airport	LAX	airport	AUS	domestic
airport	ORD	airport	ATL	domestic
airport	DFW	airport	BOS	domestic
airport	ORF	airport	CLT	domestic
airport	SAN	airport	CLT	domestic
airport	LGA	airport	DCA	domestic
airport	DFW	airport	CMH	domestic
airport	IAH	airport	DFW	domestic
airport	MCI	airport	DFW	domestic
airport	MIA	airport	DEN	domestic
airport	MSY	airport	DFW	domestic
airport	LAX	airport	HNL	domestic
airport	PHX	airport	IND	domestic
airport	PHX	airport	MCO	domestic
airport	RDU	airport	LGA	domestic
airport	MSY	airport	LAX	domestic
airport	BDL	airport	PHL	domestic
airport	CLT	airport	FLL	domestic
airport	PDX	airport	ORD	domestic
airport	BNA	airport	LAX	domestic
airport	SEA	airport	PHX	domestic
airport	CLE	airport	CLT	domestic
airport	CLT	airport	RSW	domestic
airport	DCA	airport	LAX	domestic
airport	DFW	airport	IND	domestic
airport	DFW	airport	MCI	domestic
airport	DFW	airport	ORF	domestic
airport	KOA	airport	LAX	domestic
airport	JFK	airport	MCO	domestic
airport	DFW	airport	RSW	domestic
airport	MIA	airport	ORD	domestic
airport	LGA	airport	RDU	domestic
airport	LGA	airport	MIA	domestic
airport	PDX	airport	PHX	domestic
airport	ORD	airport	SMF	domestic
airport	ORD	airport	PDX	domestic
airport	ORD	airport	SNA	domestic
airport	ITM	airport	ASJ	domestic
airport	HND	airport	FUK	domestic
airport	OKA	airport	ITM	domestic
airport	MMB	airport	HND	domestic
airport	NRT	airport	NGO	domestic
airport	AOJ	airport	HND	domestic
airport	CTS	airport	HND	domestic
airport	SYD	airport	OOL	domestic
airport	ITM	airport	NRT	domestic
airport	MAD	airport	BIO	domestic
airport	KTT	airport	IVL	domestic
airport	OOL	airport	SYD	domestic
airport	DFW	airport	BDL	domestic
airport	HEL	airport	VAA	domestic
airport	PHX	airport	ATL	domestic
airport	IAH	airport	CLT	domestic
airport	GLA	airport	LHR	domestic
airport	IND	airport	CLT	domestic
airport	CLT	airport	BOS	domestic
airport	FLL	airport	CLT	domestic
airport	LAS	airport	DCA	domestic
airport	RIC	airport	CLT	domestic
airport	MSY	airport	DCA	domestic
airport	LAX	airport	DFW	domestic
airport	LBB	airport	DFW	domestic
airport	SFO	airport	JFK	domestic
airport	SJC	airport	DFW	domestic
airport	SAT	airport	DFW	domestic
airport	PHL	airport	MCI	domestic
airport	ATL	airport	PHL	domestic
airport	PHX	airport	MIA	domestic
airport	MSY	airport	MIA	domestic
airport	ATL	airport	MIA	domestic
airport	PBI	airport	ORD	domestic
airport	BOI	airport	PHX	domestic
airport	SAN	airport	PHX	domestic
airport	CLT	airport	JFK	domestic
airport	RSW	airport	PHL	domestic
airport	CLT	airport	LAX	domestic
airport	SMF	airport	PHX	domestic
airport	DCA	airport	PBI	domestic
airport	DCA	airport	MCO	domestic
airport	CLT	airport	SAT	domestic
airport	DFW	airport	MSY	domestic
airport	DFW	airport	OMA	domestic
airport	DFW	airport	FAT	domestic
airport	DFW	airport	MIA	domestic
airport	JAX	airport	PHL	domestic
airport	DTW	airport	PHL	domestic
airport	DFW	airport	SLC	domestic
airport	MIA	airport	TPA	domestic
airport	LAX	airport	PHL	domestic
airport	LAS	airport	ORD	domestic
airport	OGG	airport	PHX	domestic
airport	OAK	airport	PHX	domestic
airport	OKA	airport	KIX	domestic
airport	NRT	airport	ITM	domestic
airport	BNE	airport	ADL	domestic
airport	DRW	airport	ADL	domestic
airport	HND	airport	ITM	domestic
airport	SXM	airport	MIA	domestic
airport	KGD	airport	DME	domestic
airport	ADL	airport	ASP	domestic
airport	BME	airport	PER	domestic
airport	XRY	airport	MAD	domestic
